1,-0.968
2,-0.982
3,-0.969
4,-0.984
5,-0.974
6,-0.972
7,-0.981
8,-0.975
9,-0.971
10,-0.981
11,-0.957
12,-0.972
13,-0.984
14,-0.979
15,-0.975
16,-0.971
17,-0.977
18,-0.96
19,-0.986
20,-0.967
21,-0.976
22,-0.962
23,-0.98
24,-0.97
25,-0.968
26,-0.983
27,-0.97
28,-0.98
29,-0.982
30,-0.97
31,-0.981
32,-0.979
33,-0.972
34,-0.974
35,-0.974
36,-0.97
37,-0.978
38,-0.966
39,-0.978
40,-0.97
41,-0.984
42,-0.97
43,-0.971
44,-0.98
45,-0.968
46,-0.98
47,-0.966
48,-0.966
49,-0.978
50,-0.978
51,-0.985
52,-0.972
53,-0.977
54,-0.997
55,-0.987
56,-0.982
57,-0.97
58,-0.987
59,-0.982
60,-0.967
61,-0.983
62,-0.98
63,-0.97
64,-0.978
65,-0.972
66,-0.965
67,-0.978
68,-0.976
69,-0.974
70,-0.963
71,-0.981
72,-0.979
73,-0.982
74,-0.97
75,-0.97
76,-0.994
77,-0.957
78,-0.987
79,-0.983
80,-0.956
81,-0.993
82,-0.974
83,-0.972
84,-0.981
85,-0.977
86,-0.982
87,-0.974
88,-0.985
89,-0.982
90,-0.973
91,-0.995
92,-0.981
93,-0.986
94,-0.974
95,-0.973
96,-0.975
97,-0.99
98,-0.974
99,-0.975
100,-0.968
